Partner,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Sector,Ownership_Type
Aker,32,0.0975609756097561,0.3378877416067822,0.3261943986820428,0.09593617123979216,Engineering & Technology,Listed
TotalEnergies,30,0.09146341463414634,0.08695123584260613,0.3088923556942278,0.4695331881788699,Oil & Gas,Listed
Air Liquide,27,0.08231707317073171,0.037576366636601716,0.21221864951768488,0.44758719157928056,Chemicals,Listed
Holcim Group,27,0.08231707317073171,0.20331081233329296,0.2877906976744186,0.23744947321460608,Cement,Private
Harbour Energy,26,0.07926829268292683,0.14816874888551587,0.31378763866877973,0.15569385617097767,Oil & Gas,Private
Equinor,25,0.07621951219512195,0.1419576672348683,0.30229007633587784,0.23367541433173258,Oil & Gas,Listed
Heidelberg Materials,22,0.06707317073170732,0.24225454147283004,0.3311036789297659,0.05183967244474431,Cement,Listed
Shell,18,0.054878048780487805,0.08217137321105969,0.2916053019145803,0.21118414410033823,Oil & Gas,Listed
Technip,17,0.05182926829268293,0.12058278865876042,0.2708618331053352,0.04812619702491222,Engineering & Technology,Listed
Fluxys,16,0.04878048780487805,0.09938688601223797,0.29819277108433734,0.18656621111006588,Oil & Gas,State
ArcelorMittal,16,0.04878048780487805,0.07842479593364075,0.2397094430992736,0.08032705910099962,Metals & Mining,Listed
Gasunie,15,0.04573170731707317,0.07497632634319748,0.27348066298342544,0.1098144861023175,Oil & Gas,State
Eni,15,0.04573170731707317,0.07647454364171848,0.2625994694960212,0.09565340518026887,Oil & Gas,Listed
Repsol,14,0.042682926829268296,0.029995385325334564,0.18857142857142858,0.05750329316427652,Oil & Gas,Listed
OMV,12,0.03658536585365854,0.041363414017525385,0.28489208633093527,0.25692273615502625,Oil & Gas,Listed
INEOS,12,0.03658536585365854,0.012239004456830672,0.22024471635150167,0.1387798084570574,Chemicals,Private
IFP Energies Nouvelles,11,0.03353658536585366,0.0,0.1875,0.05728675056561763,Utilities,Private
Schlumberger,11,0.03353658536585366,0.0,0.1875,0.057286750565617627,Oil & Gas,Listed
geostock,11,0.03353658536585366,0.0,0.1875,0.05728675056561763,Other,Private
BGRM,11,0.03353658536585366,0.0,0.1875,0.05728675056561763,Research & Development,State
geopetrol,11,0.03353658536585366,0.0,0.1875,0.057286750565617627,Other,Private
CNAM,11,0.03353658536585366,0.0,0.1875,0.057286750565617627,Research & Development,State
Terega,11,0.03353658536585366,0.0,0.1875,0.05728675056561763,Other,Private
ExxonMobil,11,0.03353658536585366,0.012976563457760331,0.22758620689655173,0.13319583274339875,Oil & Gas,Private
Lhoist,11,0.03353658536585366,0.05261566123198273,0.27848101265822783,0.13542488280661225,Other,Private
Pole Avenia,11,0.03353658536585366,0.0,0.1875,0.057286750565617627,Oil & Gas,State
Université de Pau,11,0.03353658536585366,0.0,0.1875,0.05728675056561763,Other,Private
Agglo Pau,11,0.03353658536585366,0.0,0.1875,0.057286750565617627,Municipal,Municipal
North Sea Port,10,0.03048780487804878,0.014780188107368555,0.22372881355932203,0.02928087890296733,Ports & Logistics,Private
Worley,10,0.03048780487804878,0.03754683703454123,0.2894736842105263,0.03470412888825208,Engineering & Technology,Private
Port of Antwerp,10,0.03048780487804878,0.0069343200169226975,0.23487544483985764,0.13771601372509137,Ports & Logistics,Private
Vattenfall,9,0.027439024390243903,0.021080240496484156,0.26018396846254926,0.002522781995611683,Utilities,State
Mistubishi Heavy Industries,9,0.027439024390243903,0.05286346617504701,0.2595019659239843,0.006306127074290129,Other,Private
BP,9,0.027439024390243903,0.0025420859422986193,0.2522292993630573,0.11859248534184912,Oil & Gas,Listed
Capsol,9,0.027439024390243903,0.057867165735186035,0.24874371859296482,0.011000375527931091,Other,Private
Uniper,8,0.024390243902439025,0.03133040282860043,0.2426470588235294,0.011712429100728033,Utilities,Private
SSE,8,0.024390243902439025,0.050601233372278585,0.2643524699599466,0.039922433278426685,Utilities,Listed
Johnson Matthey,8,0.024390243902439025,0.05543808061780999,0.25384615384615383,0.011008198893618757,Chemicals,Listed
Sunfire,8,0.024390243902439025,0.07795723734810028,0.22654462242562928,0.0010902825504343423,Other,Private
EBN,8,0.024390243902439025,0.00823548513903843,0.23459715639810427,0.10147044053928968,Other,Private
Plagazi,8,0.024390243902439025,0.0038951577657161405,0.26225165562913905,0.003788290615556965,Other,Private
GRT Gaz,8,0.024390243902439025,0.035889921584931726,0.2972972972972973,0.04888862438712958,Other,Private
Vår Energi,8,0.024390243902439025,0.01486320793007975,0.28448275862068967,0.044389183231239096,Utilities,Private
Stockolm Exergi,8,0.024390243902439025,0.010360376604031423,0.2574772431729519,0.00278385432025775,Other,Private
Ports of Stockhom,7,0.021341463414634148,0.0,0.2551546391752577,0.002408411991701601,Ports & Logistics,Private
Nordkalk,7,0.021341463414634148,0.0,0.2551546391752577,0.002408411991701601,Other,Private
BASF,7,0.021341463414634148,0.0,0.21244635193133046,0.14092134290098327,Chemicals,Listed
Petrofac,7,0.021341463414634148,0.0870210330758054,0.2903225806451613,0.040431478926076216,Other,Private
Mälarenergi,7,0.021341463414634148,0.0,0.2551546391752577,0.002408411991701601,Utilities,Private
Preem,7,0.021341463414634148,0.05108262934943447,0.26506024096385544,0.011731853713441358,Other,Private
Gassco,7,0.021341463414634148,0.004762197829069641,0.28407460545193686,0.04433565486497952,Other,Private
Söderenergi,7,0.021341463414634148,0.0,0.2551546391752577,0.0024084119917016002,Utilities,Private
Storegga,7,0.021341463414634148,0.0026831839345043116,0.21734357848518113,0.055197566269466765,Other,Private
Northern Lights,7,0.021341463414634148,0.004762197829069641,0.28407460545193686,0.04433565486497952,Oil & Gas,State
Eqiom,6,0.01829268292682927,0.012393694258022824,0.22098214285714285,0.03928727658340945,Other,Private
Gasunie and Fluxys,6,0.01829268292682927,0.0001249705987438644,0.19919517102615694,0.004510469683209827,Other,Private
Fortum,6,0.01829268292682927,0.04973309119744782,0.261558784676354,0.004718847268757231,Utilities,State
Elengy,6,0.01829268292682927,0.001484579957122643,0.27385892116182575,0.03454642091737575,Other,Private
PZEM,6,0.01829268292682927,0.0001249705987438644,0.19919517102615694,0.004510469683209827,Other,Private
Costain,6,0.01829268292682927,0.02181804794262245,0.27123287671232876,0.036556799610457075,Other,Private
Kent,6,0.01829268292682927,0.027514660716059795,0.2574772431729519,0.011661490625063692,Other,Private
Grand Ouest,6,0.01829268292682927,0.001484579957122643,0.27385892116182575,0.03454642091737575,Other,Private
Smart Delta Resources,6,0.01829268292682927,0.0001249705987438644,0.19919517102615694,0.004510469683209827,Other,Private
Copenhagen Infrastructure Partners,6,0.01829268292682927,0.03999384710044609,0.21545157780195864,0.0017719576034647825,Other,Private
Yara and Zeeland Refinery,6,0.01829268292682927,0.0001249705987438644,0.19919517102615694,0.004510469683209827,Chemicals,Listed
Dow,6,0.01829268292682927,0.0001249705987438644,0.19919517102615694,0.004510469683209827,Chemicals,Private
Gothenburg Port Authority,5,0.01524390243902439,0.0,0.21063829787234042,0.00048276503531333387,Ports & Logistics,Private
Renova,5,0.01524390243902439,0.0,0.21063829787234042,0.00048276503531333387,Waste & Energy,Municipal
Sydkraft AB,5,0.01524390243902439,2.0509665179715945e-05,0.22448979591836735,0.0010449910688699513,Utilities,Private
Climeworks,5,0.01524390243902439,0.04968466389786187,0.13855843247025892,0.00014859423424302466,Other,Private
LanzaTech,5,0.01524390243902439,0.007481599994290349,0.2185430463576159,0.00315065414562957,Other,Private
Esso,5,0.01524390243902439,0.0010261508897465355,0.23157894736842105,0.14675700390503973,Other,Private
Perstorp Oxo AB,5,0.01524390243902439,2.0509665179715945e-05,0.22448979591836735,0.0010449910688699513,Other,Private
Port of Rotterdam,5,0.01524390243902439,0.0031169400881752834,0.23431952662721894,0.024805940093714604,Ports & Logistics,Municipal
KBR,5,0.01524390243902439,0.0399425729374968,0.1570182394924663,2.39345927909421e-05,Engineering & Technology,Private
St1.,5,0.01524390243902439,0.0,0.21063829787234042,0.0004827650353133338,Other,Private
Nordion Energi,5,0.01524390243902439,0.0,0.21063829787234042,0.0004827650353133338,Utilities,Private
Göteborg Energi,5,0.01524390243902439,0.0,0.21063829787234042,0.0004827650353133338,Utilities,Private
