Partner_1,Partner_2,Shared_Projects
TotalEnergies,Air Liquide,9
Air Liquide,Holcim Group,8
TotalEnergies,Equinor,7
Air Liquide,Lhoist,6
TotalEnergies,Shell,6
Gas Storage Denmark,Capio Danmark,5
Equinor,Aker,5
Fidelis new energy,Capio Danmark,5
Fidelis new energy,Gas Storage Denmark,5
OMV,Air Liquide,5
OMV,TotalEnergies,5
Carbon Catalyst Ltd,Prenco UK,5
Shell,Harbour Energy,4
BP,Technip,4
SSE,Equinor,4
Equinor,BP,4
EnEarth,RepAir,4
unknown company,Aker,4
Shell,Equinor,4
Storegga,Shell,4
Storegga,Harbour Energy,3
Verdalis,ArcelorMittal,3
Verdalis,Chaux et Dolomines du boulonnais,3
Verdalis,Port of Dunkerque,3
Sunfire,Valinor,3
Sunfire,Climeworks,3
Snam,Eni,3
Air Liquide,Port of Dunkerque,3
TotalEnergies,BP,3
BP,Harbour Energy,3
Storegga,North Sea Midstream partners,3
Air Liquide,Chaux et Dolomines du boulonnais,3
Air Liquide,Fluxys,3
Equinor,Harbour Energy,3
Esso,Air Liquide,3
EBN,Shell,3
EBN,Gasunie,3
EBN,Eni,3
OMV,Esso,3
OMV,Yara,3
Holcim Group,ORLEN,3
Climeworks,Valinor,3
CarbFix,Dan-unity CO2,3
Fluxys,Port of Antwerp,3
CarbFix,Climeworks,3
TotalEnergies,Yara,3
Prenco UK,Harbour Energy,3
Mistubishi Heavy Industries,Worley,3
Yara,Air Liquide,3
TotalEnergies,Fluxys,3
Yara,Esso,3
Shell,North Sea Midstream partners,3
Air Liquide,BASF,3
Air Liquide,Verdalis,3
Duisport,Air Liquide,3
Duisport,Lhoist,3
Port of Rotterdam,Gasunie,3
Carbon Catalyst Ltd,Harbour Energy,3
Paul Wurth SA,Climeworks,3
Paul Wurth SA,Sunfire,3
Paul Wurth SA,Valinor,3
TotalEnergies,Gasunie,3
Chaux et Dolomines du boulonnais,Port of Dunkerque,3
ArcelorMittal,Port of Dunkerque,3
Air Liquide,ArcelorMittal,3
Air Liquide,ORLEN,3
North Sea Midstream partners,Harbour Energy,3
TotalEnergies,EBN,3
TotalEnergies,Esso,3
Technip,Harbour Energy,3
Shell,Gasunie,3
ArcelorMittal,Chaux et Dolomines du boulonnais,3
RepAir,C-Questra,3
Navigator Holdings,Enfinium,2
TotalEnergies,BASF,2
Repsol,IFP Energies Nouvelles,2
Repsol,Schlumberger,2
Repsol,CNAM,2
Repsol,Agglo Pau,2
North Sea Port,Fluxys,2
Repsol,BGRM,2
Schlumberger,BGRM,2
Altera,Harbour Energy,2
Air Liquide,Port of Antwerp,2
Eni,Air Liquide,2
Repsol,geostock,2
Repsol,Holcim Group,2
Schlumberger,IFP Energies Nouvelles,2
Schlumberger,Terega,2
Repsol,Terega,2
Schlumberger,Holcim Group,2
Schlumberger,geostock,2
Navigator Holdings,Bechtel,2
North Sea Port,ArcelorMittal,2
Repsol,Pole Avenia,2
Repsol,geopetrol,2
Costain,BP,2
Linde,Equinor,2
OneDyas,Eni,2
Enfinium,Bechtel,2
Pole Avenia,geostock,2
Pole Avenia,Holcim Group,2
Fortum,Uniper,2
Pole Avenia,geopetrol,2
Pole Avenia,Terega,2
Pole Avenia,BGRM,2
Pole Avenia,IFP Energies Nouvelles,2
Pole Avenia,CNAM,2
Pole Avenia,Schlumberger,2
CNAM,Holcim Group,2
Mistubishi Heavy Industries,Drax,2
Gas Storage Denmark,Ross Energy,2
geopetrol,Schlumberger,2
geopetrol,CNAM,2
geopetrol,IFP Energies Nouvelles,2
geopetrol,BGRM,2
geopetrol,Terega,2
geopetrol,Holcim Group,2
CNAM,geostock,2
CNAM,Terega,2
EBN,OneDyas,2
ENKA,EET Hydrogen,2
Agglo Pau,geostock,2
Agglo Pau,Holcim Group,2
Agglo Pau,Pole Avenia,2
ExxonMobil,Air Liquide,2
ExxonMobil,Port of Antwerp,2
ExxonMobil,BASF,2
Agglo Pau,geopetrol,2
ExxonMobil,Fluxys,2
Agglo Pau,Terega,2
CNAM,BGRM,2
BP,ADNOC,2
Snam,Air Liquide,2
Agglo Pau,IFP Energies Nouvelles,2
Agglo Pau,CNAM,2
Agglo Pau,Schlumberger,2
CNAM,Schlumberger,2
CNAM,IFP Energies Nouvelles,2
Peel NRE,Progressive Energy,2
Agglo Pau,BGRM,2
geopetrol,geostock,2
Gasunie,Energie Beheer Nederland,2
Welltec,INEOS,2
OMV,Fluxys,2
OMV,INEOS,2
OMV,BASF,2
Université de Pau,geopetrol,2
OMV,ExxonMobil,2
Université de Pau,Pole Avenia,2
Université de Pau,Holcim Group,2
Université de Pau,geostock,2
Gasunie,Vopak,2
SSE,Kellas Midstream,2
Terega,geostock,2
Terega,BGRM,2
Terega,IFP Energies Nouvelles,2
Summit Energy Evolution Limited,Prenco UK,2
Summit Energy Evolution Limited,Carbon Catalyst Ltd,2
TotalEnergies,Holcim Group,2
CarbonCuts,Bluenord,2
Aker,Hafslund Oslo Celsio,2
Capsol,unknown company,2
Aker,Orsted,2
Umea Energi,Liquid Wind,2
Drax,Worley,2
BGRM,geostock,2
BGRM,IFP Energies Nouvelles,2
Removr,CarbFix,2
Port of Rotterdam,Energie Beheer Nederland,2
Fluxys,BASF,2
Fidelis new energy,Ross Energy,2
Eqiom,Air Liquide,2
Université de Pau,Terega,2
OMV,Port of Antwerp,2
Welltec,Harbour Energy,2
Université de Pau,Repsol,2
Université de Pau,CNAM,2
Uniper,Technip,2
Eni,Equinor,2
TotalEnergies,ExxonMobil,2
Port of Antwerp,BASF,2
Holcim Group,Terega,2
Sundsvall Energi,Liquid Wind,2
Halliburton,Eni,2
TotalEnergies,Port of Antwerp,2
Holcim Group,BGRM,2
Holcim Group,Cool Planet Technologies,2
Holcim Group,geostock,2
Université de Pau,Agglo Pau,2
Université de Pau,IFP Energies Nouvelles,2
INEOS,BASF,2
INEOS,Air Liquide,2
INEOS,ExxonMobil,2
IFP Energies Nouvelles,geostock,2
INEOS,Port of Antwerp,2
TotalEnergies,Harbour Energy,2
INEOS,TotalEnergies,2
INEOS,Fluxys,2
Université de Pau,BGRM,2
Holcim Group,IFP Energies Nouvelles,2
Ross Energy,Capio Danmark,2
INEOS,Harbour Energy,2
Université de Pau,Schlumberger,2
TES,Open Grid Europe,1
Gasunie and Fluxys,Dow,1
