Sector,Degree_mean,Degree_median,Degree_max,Degree_count,Degree_Centrality_mean,Betweenness_Centrality_mean
Municipal,11.0,11.0,11,1,0.0335,0.0
Oil & Gas,7.9677,4.0,30,31,0.0243,0.0261
Chemicals,7.6,6.0,27,10,0.0232,0.0174
Metals & Mining,7.3333,4.0,16,3,0.0224,0.0261
Research & Development,6.25,7.0,11,4,0.0191,0.0
Cement,5.8,1.0,27,10,0.0177,0.0505
Ports & Logistics,5.2,4.5,10,10,0.0159,0.0025
Engineering & Technology,4.75,2.5,32,20,0.0145,0.0274
Aviation,3.0,3.0,3,1,0.0091,0.0
Other,2.8232,2.0,11,164,0.0086,0.0045
Utilities,2.5789,2.0,11,57,0.0079,0.0042
Energy,1.6667,2.0,2,3,0.0051,0.0
Waste & Energy,1.2143,1.0,5,14,0.0037,0.0
Finance,1.0,1.0,1,1,0.003,0.0
