Canonical_Name,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7
A2X,,,,,,,
ADNOC,,,,,,,
AEB Amsterdam,,,,,,,
ANDRITZ,,,,,,,
ARC,,,,,,,
ARGO,,,,,,,
Aalborg Forsyning,,,,,,,
Aalborg Portland,,,,,,,
Acorn,,,,,,,
Agglo Pau,,,,,,,
Aghata,,,,,,,
Air Liquide,Air Liquide,Air Liquide Polska,AirLiquide,,,,
Air Products,,,,,,,
Aker,Aker BP,Aker BP ASA,Aker Carbon Capture,Aker Horizons,Aker Solutions,Aker solutions,
Alfanar,,,,,,,
Alstom  Oltenia,,,,,,,
Altalto Immingham Limited,,,,,,,
Altera,,,,,,,
Aluminium Dunkerque,,,,,,,
Amplus Energy Services Limited,,,,,,,
Aquaterra Energy,,,,,,,
ArcelorMittal,,,,,,,
Atkins,,,,,,,
BASF,,,,,,,
BGRM,,,,,,,
BIOFOS,,,,,,,
BIR,,,,,,,
BP,BP,bp,,,,,
Babcock & Wilcox,Babcock & Wilcox,Backock & Wilcox,,,,,
Bechtel,,,,,,,
BioCirc CO2 ApS,,,,,,,
Bioenergy Infrastructure Group,,,,,,,
Biomasse Energy d'Alizay,,,,,,,
Borg Havn,,,,,,,
Borregaard,,,,,,,
Boson Energy SA,,,,,,,
Breedon group,,,,,,,
British Airways,,,,,,,
Bumi Armada Berhad,,,,,,,
Buzzi Unicem Spa,,,,,,,
C-Questra,,,,,,,
CEMEX,,,,,,,
CNAM,,,,,,,
COWI,,,,,,,
CPC Finland Oy,,,,,,,
Calix,,,,,,,
Capio Danmark,,,,,,,
Capsol,Capsol,Capsol Technologies,CO2 Capsol,,,,
CarbFix,CarbFix,Carbfix,,,,,
Carbon Catalyst Ltd,,,,,,,
Carbon Iceland,,,,,,,
Carbon Recycling International,,,,,,,
CarbonCuts,,,,,,,
Carbonvert,,,,,,,
Cementa,,,,,,,
Centrica,,,,,,,
Chaux et Dolomines du boulonnais,,,,,,,
Chrysaor,,,,,,,
Clariant Catalysts,,,,,,,
Climeworks,Climeworks,Climeworks AG,,,,,
