Project,Partner
MOL Szank field CO2 EOR,MOL Group
Sleipner,Equinor
Sleipner,Eni
Acorn CCS phase 2,Storegga
Acorn CCS phase 2,Shell
Acorn CCS phase 2,Harbour Energy
Acorn CCS phase 2,North Sea Midstream partners
OCAP,OCAP
Snohvit CO2 capture and storage,Equinor
Snohvit CO2 capture and storage,Petoro
Snohvit CO2 capture and storage,TotalEnergies
Snohvit CO2 capture and storage,Eni
Snohvit CO2 capture and storage,Harbour Energy
Climeworks Orca,Climeworks
Climeworks Orca,CarbFix
Altera Stella Maris CCS Project Phase 2,Altera
Altera Stella Maris CCS Project Phase 2,Hoegh LNG
Altera Stella Maris CCS Project Phase 2,Sevan SSP
Altera Stella Maris CCS Project Phase 2,Harbour Energy
Climeworks Mammoth Project phase 1,Climeworks
Climeworks Mammoth Project phase 1,CarbFix
Northern Lights Phase 1,Shell
Northern Lights Phase 1,TotalEnergies
Northern Lights Phase 1,Equinor
Heidelberg Materials Brevik cement,Heidelberg Materials
Heidelberg Materials Brevik cement,Aker
Heidelberg Materials LEILAC 2,Heidelberg Materials
Heidelberg Materials LEILAC 2,Calix
Climeworks Mammoth Project phase 2,Climeworks
Climeworks Mammoth Project phase 2,CarbFix
Air Products for Exxonmobil Botlek Rotterdam refinery,ExxonMobil
Air Products for Exxonmobil Botlek Rotterdam refinery,Air Products
Barents Blue ammonia project Train 2,Horisont Energi
Barents Blue ammonia project Train 3,Horisont Energi
Porthos onshore transport,Energie Beheer Nederland
Porthos onshore transport,Gasunie
Porthos onshore transport,Port of Rotterdam
Amager Bakke/Amager Resource Centre (ARC),ARC
Amager Bakke/Amager Resource Centre (ARC),Babcock & Wilcox
Amager Bakke/Amager Resource Centre (ARC),Copenhagen Port
Borregaard / SAE (Borg CO2) (2 facilities),Borg Havn
Borregaard / SAE (Borg CO2) (2 facilities),Borregaard
Energean CO2 storage and hydrogen plant,Energean
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Holcim Group
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,OMV
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Verbund
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,OMV
Porthos offshore transport and storage,Energie Beheer Nederland
Porthos offshore transport and storage,Gasunie
Porthos offshore transport and storage,Port of Rotterdam
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Nordion Energi
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Göteborg Energi
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Renova
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Gothenburg Port Authority
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Preem
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,St1.
Future Biogas plants phase 1,Future Biogas
Climeworks Norsk e fuel phase 1,Sunfire
Climeworks Norsk e fuel phase 1,Climeworks
Climeworks Norsk e fuel phase 1,Paul Wurth SA
Climeworks Norsk e fuel phase 1,Valinor
Climeworks Norsk e fuel phase 2,Sunfire
Climeworks Norsk e fuel phase 2,Climeworks
Climeworks Norsk e fuel phase 2,Paul Wurth SA
Climeworks Norsk e fuel phase 2,Valinor
Climeworks Norsk e fuel phase 3,Sunfire
Climeworks Norsk e fuel phase 3,Climeworks
Climeworks Norsk e fuel phase 3,Paul Wurth SA
Climeworks Norsk e fuel phase 3,Valinor
CO2 TO METHANOL Finnfjord Ferrosilicon,Statkraft
CO2 TO METHANOL Finnfjord Ferrosilicon,Carbon Recycling International
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Stockolm Exergi
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Capsol
Lyse Forus Energigjenvinning Stavanger ,Lyse
Lyse Forus Energigjenvinning Stavanger ,Forus Energi
Lyse Forus Energigjenvinning Stavanger ,Aker
Coda terminal phase 3,CarbFix
Coda terminal phase 3,Dan-unity CO2
Yara Sluiskil fertiliser,Yara
Shell Netherlands Refineries heavy residue gasification CCS,Shell
D'Artagnan Dunkirk CO2 Hub Phase 2,ArcelorMittal
D'Artagnan Dunkirk CO2 Hub Phase 2,Port of Dunkerque
D'Artagnan Dunkirk CO2 Hub Phase 2,Chaux et Dolomines du boulonnais
D'Artagnan Dunkirk CO2 Hub Phase 2,Verdalis
D'Artagnan Dunkirk CO2 Hub Phase 2,Air Liquide
D'Artagnan Dunkirk CO2 Hub Phase 3,ArcelorMittal
D'Artagnan Dunkirk CO2 Hub Phase 3,Port of Dunkerque
D'Artagnan Dunkirk CO2 Hub Phase 3,Chaux et Dolomines du boulonnais
D'Artagnan Dunkirk CO2 Hub Phase 3,Verdalis
D'Artagnan Dunkirk CO2 Hub Phase 3,Air Liquide
Preem CCS at Lysekil refinery,Preem
Preem CCS at Lysekil refinery,Aker
Preem CCS at Lysekil refinery,Equinor
Air Liquide hydrogen facility Rotterdam,Air Liquide
Redcar Energy Centre EfW,Redcar Energy
Greensand Future phase 1,INEOS
Greensand Future phase 1,Harbour Energy
Greensand Future phase 1,Welltec
Greensand Future phase 1,Aquaterra Energy
Greensand Future phase 1,Royal Wagenborg
Asnæs Power Station,Orsted
Asnæs Power Station,Aker
Asnæs Power Station,NCC
Vestforbrænding's Ejby Glostrup incineration plant,Vestforbrænding
Vestforbrænding's Ejby Glostrup incineration plant,Technip
Vestforbrænding's Ejby Glostrup incineration plant,Copenhagen Infrastructure Partners
Viridor Runcorn CCS project,Viridor
Wilhelmshaven Energy Hub BlueHyNow,Harbour Energy
Avedøre Power Station CCS,Orsted
Avedøre Power Station CCS,Aker
Removr Carbfix Polar plant phase 1,Removr
Removr Carbfix Polar plant phase 1,CarbFix
Hover cement works Hannover phase 1,Holcim Group
Hover cement works Hannover phase 1,Cool Planet Technologies
Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),Borg Havn
Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),Kvitebjørn Bio-El
Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),FREVAR
Grain CCGT power station,Synergia Energy
Grain CCGT power station,Technip
Grain CCGT power station,Aker
Grain CCGT power station,Oilex
Tees Valley Energy Recovery Facility (TVERF),Hartlepool Borough Council
H21 Leeds City Gate - Teesside hydrogen,Northern Gas Networks
KVA Linth Waste-to-Energy Niederurnen,KVA Linth
KVA Linth Waste-to-Energy Niederurnen,VBSA
KVA Linth Waste-to-Energy Niederurnen,Capsol
Gassum storage/Fyrkat network (Norne carbon storage hub),Fidelis new energy
Gassum storage/Fyrkat network (Norne carbon storage hub),Gas Storage Denmark
Gassum storage/Fyrkat network (Norne carbon storage hub),Capio Danmark
Gassum storage/Fyrkat network (Norne carbon storage hub),Ross Energy
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),Fidelis new energy
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),Gas Storage Denmark
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),Capio Danmark
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),KBR
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),Fidelis new energy
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),Gas Storage Denmark
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),Capio Danmark
Prinos CCS phase 1,Energean
Prinos sigma plant,Energean
Danube Removals,emov
Danube Removals,Danubeenergy ventures
Danube Removals,ClonBio Group
Carbon2Business Laegerdorf,Holcim Group
Carbon2Business Laegerdorf,Hyscale100 consortium
Stenlille project (CO2RYLUS),Gas Storage Denmark
Sundsvall Korsta plant CCS,Liquid Wind
Sundsvall Korsta plant CCS,Sundsvall Energi
Hydrogen to Humber (H2H) Saltend phase 1,Equinor
Hydrogen to Humber (H2H) Saltend phase 1,SSE
Hydrogen to Humber (H2H) Saltend phase 1,Linde
Hydrogen to Humber (H2H) Saltend phase 1,Linde
Hydrogen to Humber (H2H) Saltend phase 1,Johnson Matthey
Umea Dava plant CCS,Liquid Wind
Umea Dava plant CCS,Umea Energi
BioCirc biogas plant,BioCirc CO2 ApS
Sisak biorefinery project,INA
Carbon Connect Delta ,Smart Delta Resources
Carbon Connect Delta ,North Sea Port
Carbon Connect Delta ,ArcelorMittal
Carbon Connect Delta ,Dow
Carbon Connect Delta ,PZEM
Carbon Connect Delta ,Yara and Zeeland Refinery
Carbon Connect Delta ,Gasunie and Fluxys
A2X's CCS Esbjerg ( Carbon captured from Energnist Incineration Plant in Esbjerg),A2X
A2X's CCS Esbjerg ( Carbon captured from Energnist Incineration Plant in Esbjerg),SubC Partner
A2X's CCS Esbjerg ( Carbon captured from Energnist Incineration Plant in Esbjerg),Juel+Krøyer and HYTOR Group
Olea Phase 1,EnEarth
Olea Phase 1,RepAir
Oak CCS (RepAir Carbon- C-Questra) Phase 1,RepAir
Oak CCS (RepAir Carbon- C-Questra) Phase 1,C-Questra
LIPOR Maia Energy Recovery Plant PtL facility,LIPOR
LIPOR Maia Energy Recovery Plant PtL facility,P2X Europe
LIPOR Maia Energy Recovery Plant PtL facility,Veolia
Antwerp@ C CO2 Export Hub phase 1,Air Liquide
Antwerp@ C CO2 Export Hub phase 1,BASF
Antwerp@ C CO2 Export Hub phase 1,OMV
Antwerp@ C CO2 Export Hub phase 1,ExxonMobil
Antwerp@ C CO2 Export Hub phase 1,INEOS
Antwerp@ C CO2 Export Hub phase 1,TotalEnergies
Antwerp@ C CO2 Export Hub phase 1,Fluxys
Antwerp@ C CO2 Export Hub phase 1,Port of Antwerp
D'Artagnan Dunkirk CO2 Hub Phase 1,ArcelorMittal
D'Artagnan Dunkirk CO2 Hub Phase 1,Port of Dunkerque
D'Artagnan Dunkirk CO2 Hub Phase 1,Chaux et Dolomines du boulonnais
D'Artagnan Dunkirk CO2 Hub Phase 1,Verdalis
D'Artagnan Dunkirk CO2 Hub Phase 1,Air Liquide
Delta Rhyne Corridor ,0
Drax BECCS Project (Phase 1),Drax
Drax BECCS Project (Phase 1),Worley
Drax BECCS Project (Phase 1),Mistubishi Heavy Industries
BP H2Teesside Phase 1,Technip
BP H2Teesside Phase 1,Costain
BP H2Teesside Phase 1,BP
BP H2Teesside Phase 1,ADNOC
Norske Skog Saugbrugs (Borg CO2),Borg Havn
Norske Skog Saugbrugs (Borg CO2),Norske Skog Saugbrugs
Kairos@C,Air Liquide
Kairos@C,BASF
ECO2CEE (Poland EU CCS Interconnector) phase 1,Air Liquide
ECO2CEE (Poland EU CCS Interconnector) phase 1,ORLEN
ECO2CEE (Poland EU CCS Interconnector) phase 1,Holcim Group
ECO2CEE (Poland EU CCS Interconnector) phase 1,ORLEN
Shell Netherlands Refineries heavy residue gasification CCU,Shell
Shell Uniper Humber Hub Blue North Killingholme,Shell
Shell Uniper Humber Hub Blue North Killingholme,Uniper
HyNet Hydrogen Production Project (HPP) Plant 1 (Hynet phase 1),EET Hydrogen
HyNet Hydrogen Production Project (HPP) Plant 1 (Hynet phase 1),ENKA
Suez Tees Valley / Haverton Hill Waste to Energy CCS,Suez
Suez Tees Valley / Haverton Hill Waste to Energy CCS,Fluor
Viking CCS Phase 1,Harbour Energy
Viking CCS Phase 1,BP
Viking CCS Phase 1,Kent
Viking CCS Phase 1,Technip
VPI Immingham CHP plant CCS,VPI
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,Air Liquide
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,ORLEN
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,Holcim Group
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,ORLEN
Ghent Carbon Hub,Fluxys
Ghent Carbon Hub,ArcelorMittal
Ghent Carbon Hub,North Sea Port
Go4ECOPLANET Kujawy,Holcim Group
Go4ECOPLANET Kujawy,Air Liquide
Go4ECOPLANET Kujawy,Protech
Prinos CCS phase 2,Energean
Kutina Petrokemija ammonia (ICORD project?),INA
Kutina Petrokemija ammonia (ICORD project?),MOL Group
Plock plant,ORLEN
Acorn CCS phase 1-Capture at St Fergus,Storegga
Acorn CCS phase 1-Capture at St Fergus,Shell
